TimeStamp, Source,LogType,Description
05.15 16:51.46, , Initialization, Info, Command line:wvs.exe /ps 4512018358977 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://www.jxzls.com/ --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\177b45290f0e02fc4b6b717ee63e0993\
05.15 16:51.46, Console,Info,Test temporary directory ...
05.15 16:51.46, Console,Info,Init WinSock ...
05.15 16:51.46, Console,Info,Init HTTP module ...
05.15 16:51.47, Console,Info,Clear old logs ...
05.15 16:51.47, Console,Info,Parse branding ...
05.15 16:51.47, App_Initialization_Shutdown,Info,Build: 20160217
05.15 16:51.47, Console,Info,Init the browser ...
05.15 16:51.47, Console,Info,Init database manager ...
05.15 16:51.47, Console,Info,Init GHDB ...
05.15 16:51.47, Console,Info,Init server info interface ...
05.15 16:51.47, Frame_Config,Info,Parse Frame Config XML ...
05.15 16:51.47, Console,Info,Init application detection ...
05.15 16:51.47, Console,Info,Init Acunetix VVS ...
05.15 16:51.47, Console,Info,Load false positives ...
05.15 16:51.47, Console,Info,Init global messaging ...
05.15 16:51.47, Console,Info,Done.
05.15 16:51.47, Scan,Info,http://www.jxzls.com/ have the ip 125.211.216.229
05.15 16:51.50, Scan,Info,Start URL : http://www.jxzls.com/
05.15 16:51.50, Scan,Info,Scanning Mode : Heuristic
05.15 16:51.50, Scan,Info,Server banner: IIS
05.15 16:51.50, Slow_HTTP_DOS,Info,Slow_HTTP_DOS finished and the server is not vulnerable. Difference is 0
05.15 16:51.50, Scan,Info,Internal module finished.
05.15 16:51.50, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 16:51.50, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 16:51.50, Crawler,Info,[TCrawler : $0BAA02B0] Structure initialized
05.15 16:51.50, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 16:51.50, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 16:51.50, Crawler,Info,[TCrawler : $0BAA02B0] Crawling started, URL: http://www.jxzls.com/
05.15 16:51.50, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_INITIALIZED -> CS_RUNNING
05.15 16:51.50, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/
05.15 16:51.50, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_RUNNING -> CS_DETECT404
05.15 16:51.52, Crawler,Info,Auto custom 404 page detector done.
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_DETECT404 -> CS_RUNNING
05.15 16:51.52, ScriptExecThread(0),Info,Per server script "AJP_Audit.script" starting
05.15 16:51.52, ScriptExecThread(5),Info,Per server script "Apache_Axis2_Audit.script" starting
05.15 16:51.52, ScriptExecThread(1),Info,Per server script "Amazon_S3_Ping.script" starting
05.15 16:51.52, ScriptExecThread(6),Info,Per server script "Apache_Roller_Audit.script" starting
05.15 16:51.52, ScriptExecThread(9),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" starting
05.15 16:51.52, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" starting
05.15 16:51.52, ScriptExecThread(8),Info,Per server script "Apache_Server_Information.script" starting
05.15 16:51.52, ScriptExecThread(7),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" starting
05.15 16:51.52, ScriptExecThread(3),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" starting
05.15 16:51.52, ScriptExecThread(2),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" starting
05.15 16:51.52, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" finished in 94 ms. Request count: 1. Status: 0
05.15 16:51.52, ScriptExecThread(4),Info,Per server script "Apache_Solr_Exposed.script" starting
05.15 16:51.52, ScriptExecThread(3),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" finished in 203 ms. Request count: 1. Status: 0
05.15 16:51.52, ScriptExecThread(3),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" starting
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/favicon.ico
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/robots.txt
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Processing file /
05.15 16:51.52, Reporter,Info,[medium] HTML form without CSRF protection "/"
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/anli.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/news.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/about.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/liuyan.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/service.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/index.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/newslist.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/uploadfile
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/products.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/productshow.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/productshow.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/productshow.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/productshow.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/style.css
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/productshow.asp
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/js/myfocus-1.2.4.full.js
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/css/ico
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/UploadFile
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/js
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_RUNNING -> CS_LOGIN
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Crawler:  http://www.jxzls.com/ State transition: CS_LOGIN -> CS_RUNNING
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/favicon.ico
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/sitemap.xml
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Added request for URL http://www.jxzls.com/sitemap.xml.gz
05.15 16:51.52, Crawler,Info,[TCrawler : $0BAA02B0] Request done, http://www.jxzls.com/robots.txt
05.15 16:51.53, ScriptExecThread(9),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" finished in 546 ms. Request count: 1. Status: 0
