TimeStamp, Source,LogType,Description
05.15 14:48.33, , Initialization, Info, Command line:wvs.exe /ps 4748010965903 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://testaspnet.vulnweb.com/ --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\36f0ec6fe6399491ed166c2132493e0b\
05.15 14:48.33, Console,Info,Test temporary directory ...
05.15 14:48.33, Console,Info,Init WinSock ...
05.15 14:48.33, Console,Info,Init HTTP module ...
05.15 14:48.33, Console,Info,Clear old logs ...
05.15 14:48.33, Console,Info,Parse branding ...
05.15 14:48.33, App_Initialization_Shutdown,Info,Build: 20160217
05.15 14:48.33, Console,Info,Init the browser ...
05.15 14:48.33, Console,Info,Init database manager ...
05.15 14:48.33, Console,Info,Init GHDB ...
05.15 14:48.33, Console,Info,Init server info interface ...
05.15 14:48.34, Frame_Config,Info,Parse Frame Config XML ...
05.15 14:48.34, Console,Info,Init application detection ...
05.15 14:48.34, Console,Info,Init Acunetix VVS ...
05.15 14:48.34, Console,Info,Load false positives ...
05.15 14:48.34, Console,Info,Init global messaging ...
05.15 14:48.34, Console,Info,Done.
05.15 14:48.34, Scan,Info,http://testaspnet.vulnweb.com/ have the ip 5.175.17.140
05.15 14:48.35, Scan,Info,Start URL : http://testaspnet.vulnweb.com/
05.15 14:48.35, Scan,Info,Scanning Mode : Heuristic
05.15 14:48.35, Scan,Info,Server banner: IIS
05.15 14:48.35, Slow_HTTP_DOS,Info,Slow_HTTP_DOS finished and the server is not vulnerable. Difference is 0
05.15 14:48.35, Scan,Info,Internal module finished.
05.15 14:48.35, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 14:48.35, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 14:48.35, Crawler,Info,[TCrawler : $0BA402B0] Structure initialized
05.15 14:48.35, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 14:48.35, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 14:48.35, Crawler,Info,[TCrawler : $0BA402B0] Crawling started, URL: http://testaspnet.vulnweb.com/
05.15 14:48.35, Crawler,Info,[TCrawler : $0BA402B0] Crawler:  http://testaspnet.vulnweb.com/ State transition: CS_INITIALIZED -> CS_RUNNING
05.15 14:48.35, Crawler,Info,[TCrawler : $0BA402B0] Added request for URL http://testaspnet.vulnweb.com/
05.15 14:48.35, Crawler,Info,[TCrawler : $0BA402B0] Crawler:  http://testaspnet.vulnweb.com/ State transition: CS_RUNNING -> CS_DETECT404
05.15 14:48.42, Crawler,Info,Auto custom 404 page detector done.
05.15 14:48.42, Crawler,Info,[TCrawler : $0BA402B0] Crawler:  http://testaspnet.vulnweb.com/ State transition: CS_DETECT404 -> CS_RUNNING
05.15 14:48.42, ScriptExecThread(3),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" starting
05.15 14:48.42, ScriptExecThread(4),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" starting
05.15 14:48.42, ScriptExecThread(8),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" starting
05.15 14:48.42, ScriptExecThread(5),Info,Per server script "Apache_Axis2_Audit.script" starting
05.15 14:48.42, ScriptExecThread(9),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" starting
05.15 14:48.42, ScriptExecThread(0),Info,Per server script "AJP_Audit.script" starting
05.15 14:48.42, ScriptExecThread(6),Info,Per server script "Apache_Running_As_Proxy.script" starting
05.15 14:48.42, ScriptExecThread(1),Info,Per server script "Amazon_S3_Ping.script" starting
05.15 14:48.42, ScriptExecThread(2),Info,Per server script "Apache_Server_Information.script" starting
05.15 14:48.42, ScriptExecThread(7),Info,Per server script "Apache_Roller_Audit.script" starting
05.15 14:48.42, ScriptExecThread(1),Info,Per server script "Amazon_S3_Ping.script" finished in 453 ms. Request count: 1. Status: 0
05.15 14:48.42, ScriptExecThread(1),Info,Per server script "Apache_Solr_Exposed.script" starting
05.15 14:48.43, ScriptExecThread(7),Info,Per server script "Apache_Roller_Audit.script" finished in 562 ms. Request count: 1. Status: 0
05.15 14:48.43, ScriptExecThread(7),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" starting
05.15 14:48.43, ScriptExecThread(6),Info,Per server script "Apache_Running_As_Proxy.script" finished in 593 ms. Request count: 1. Status: 0
