TimeStamp, Source,LogType,Description
05.15 14:43.57, , Initialization, Info, Command line:wvs.exe /ps 4416010689968 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://testphp.vulnweb.com/ --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\45c20358adc310212646795fc0986a3e\
05.15 14:43.57, Console,Info,Test temporary directory ...
05.15 14:43.57, Console,Info,Init WinSock ...
05.15 14:43.57, Console,Info,Init HTTP module ...
05.15 14:43.58, Console,Info,Clear old logs ...
05.15 14:43.58, Console,Info,Parse branding ...
05.15 14:43.58, App_Initialization_Shutdown,Info,Build: 20160217
05.15 14:43.58, Console,Info,Init the browser ...
05.15 14:43.58, Console,Info,Init database manager ...
05.15 14:43.58, Console,Info,Init GHDB ...
05.15 14:43.58, Console,Info,Init server info interface ...
05.15 14:43.58, Frame_Config,Info,Parse Frame Config XML ...
05.15 14:43.58, Console,Info,Init application detection ...
05.15 14:43.58, Console,Info,Init Acunetix VVS ...
05.15 14:43.58, Console,Info,Load false positives ...
05.15 14:43.58, Console,Info,Init global messaging ...
05.15 14:43.58, Console,Info,Done.
05.15 14:43.58, Scan,Info,http://testphp.vulnweb.com/ have the ip 176.28.50.165
05.15 14:43.59, Scan,Info,Start URL : http://testphp.vulnweb.com/
05.15 14:43.59, Scan,Info,Scanning Mode : Heuristic
05.15 14:43.59, Scan,Info,Server banner: nginx
05.15 14:43.59, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 14:43.59, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 14:43.59, Crawler,Info,[TCrawler : $0BBC02B0] Structure initialized
05.15 14:43.59, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 14:43.59, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 14:43.59, Crawler,Info,[TCrawler : $0BBC02B0] Crawling started, URL: http://testphp.vulnweb.com/
05.15 14:43.59, Crawler,Info,[TCrawler : $0BBC02B0] Crawler:  http://testphp.vulnweb.com/ State transition: CS_INITIALIZED -> CS_RUNNING
05.15 14:43.59, Crawler,Info,[TCrawler : $0BBC02B0] Added request for URL http://testphp.vulnweb.com/
05.15 14:43.59, Crawler,Info,[TCrawler : $0BBC02B0] Crawler:  http://testphp.vulnweb.com/ State transition: CS_RUNNING -> CS_DETECT404
05.15 14:44.01, Crawler,Info,Auto custom 404 page detector done.
05.15 14:44.01, Crawler,Info,[TCrawler : $0BBC02B0] Crawler:  http://testphp.vulnweb.com/ State transition: CS_DETECT404 -> CS_RUNNING
05.15 14:44.01, ScriptExecThread(5),Info,Per server script "Apache_Axis2_Audit.script" starting
05.15 14:44.01, ScriptExecThread(1),Info,Per server script "AJP_Audit.script" starting
