TimeStamp, Source,LogType,Description
05.15 14:48.33, , Initialization, Info, Command line:wvs.exe /ps 2008010965294 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://testasp.vulnweb.com/ --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\da12fdc291fdc06b67455a640a865d93\
05.15 14:48.33, Console,Info,Test temporary directory ...
05.15 14:48.33, Console,Info,Init WinSock ...
05.15 14:48.33, Console,Info,Init HTTP module ...
05.15 14:48.33, Console,Info,Clear old logs ...
05.15 14:48.33, Console,Info,Parse branding ...
05.15 14:48.33, App_Initialization_Shutdown,Info,Build: 20160217
05.15 14:48.33, Console,Info,Init the browser ...
05.15 14:48.33, Console,Info,Init database manager ...
05.15 14:48.33, Console,Info,Init GHDB ...
05.15 14:48.33, Console,Info,Init server info interface ...
05.15 14:48.33, Frame_Config,Info,Parse Frame Config XML ...
05.15 14:48.33, Console,Info,Init application detection ...
05.15 14:48.33, Console,Info,Init Acunetix VVS ...
05.15 14:48.33, Console,Info,Load false positives ...
05.15 14:48.33, Console,Info,Init global messaging ...
05.15 14:48.33, Console,Info,Done.
05.15 14:48.33, Scan,Info,http://testasp.vulnweb.com/ have the ip 5.175.17.140
05.15 14:48.34, Scan,Info,Start URL : http://testasp.vulnweb.com/
05.15 14:48.34, Scan,Info,Scanning Mode : Heuristic
05.15 14:48.34, Scan,Info,Server banner: IIS
05.15 14:48.34, Slow_HTTP_DOS,Info,Slow_HTTP_DOS finished and the server is not vulnerable. Difference is 0
05.15 14:48.34, Scan,Info,Internal module finished.
05.15 14:48.34, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 14:48.34, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 14:48.34, Crawler,Info,[TCrawler : $0BA902B0] Structure initialized
05.15 14:48.34, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 14:48.34, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 14:48.34, Crawler,Info,[TCrawler : $0BA902B0] Crawling started, URL: http://testasp.vulnweb.com/
05.15 14:48.34, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_INITIALIZED -> CS_RUNNING
05.15 14:48.34, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/
05.15 14:48.34, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_RUNNING -> CS_DETECT404
05.15 14:48.36, Crawler,Info,Auto custom 404 page detector done.
05.15 14:48.36, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_DETECT404 -> CS_RUNNING
05.15 14:48.36, ScriptExecThread(2),Info,Per server script "Amazon_S3_Ping.script" starting
05.15 14:48.36, ScriptExecThread(6),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" starting
05.15 14:48.36, ScriptExecThread(3),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" starting
05.15 14:48.36, ScriptExecThread(7),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" starting
05.15 14:48.36, ScriptExecThread(5),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" starting
05.15 14:48.36, ScriptExecThread(8),Info,Per server script "Apache_Server_Information.script" starting
05.15 14:48.36, ScriptExecThread(1),Info,Per server script "Apache_Axis2_Audit.script" starting
05.15 14:48.36, ScriptExecThread(9),Info,Per server script "Apache_Roller_Audit.script" starting
05.15 14:48.36, ScriptExecThread(0),Info,Per server script "AJP_Audit.script" starting
05.15 14:48.36, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" starting
05.15 14:48.37, ScriptExecThread(2),Info,Per server script "Amazon_S3_Ping.script" finished in 452 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(2),Info,Per server script "Apache_Solr_Exposed.script" starting
05.15 14:48.37, ScriptExecThread(7),Info,Per server script "Apache_Proxy_CONNECT_Enabled.script" finished in 546 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(7),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" starting
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/favicon.ico
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/robots.txt
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Processing file /
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/styles.css
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Search.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Default.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templatize.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templatize.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Login.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showforum.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showforum.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showforum.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/showforum.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Register.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Templates/MainTemplate.dwt.asp
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/Images
05.15 14:48.37, ScriptExecThread(6),Info,Per server script "Apache_Geronimo_Default_Administrative_Credentials.script" finished in 592 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(4),Info,Per server script "Apache_Running_As_Proxy.script" finished in 592 ms. Request count: 1. Status: 0
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_RUNNING -> CS_LOGIN
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Crawler:  http://testasp.vulnweb.com/ State transition: CS_LOGIN -> CS_RUNNING
05.15 14:48.37, ScriptExecThread(4),Info,Per server script "Arbitrary_file_existence_disclosure_in_Action_Pack.script" starting
05.15 14:48.37, ScriptExecThread(6),Info,Per server script "Apache_XSS_via_Malformed_Method.script" starting
05.15 14:48.37, ScriptExecThread(9),Info,Per server script "Apache_Roller_Audit.script" finished in 608 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(9),Info,Per server script "ASP_NET_Error_Message.script" starting
05.15 14:48.37, ScriptExecThread(5),Info,Per server script "Apache_mod_negotiation_Filename_Bruteforcing.script" finished in 842 ms. Request count: 2. Status: 0
05.15 14:48.37, ScriptExecThread(3),Info,Per server script "Apache_httpOnly_Cookie_Disclosure.script" finished in 842 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(5),Info,Per server script "ASP_NET_Forms_Authentication_Bypass.script" starting
05.15 14:48.37, ScriptExecThread(3),Info,Per server script "ASP_NET_Oracle_Padding.script" starting
05.15 14:48.37, ScriptExecThread(3),Info,Per server script "ASP_NET_Oracle_Padding.script" finished in 0 ms. Request count: 0. Status: 0
05.15 14:48.37, ScriptExecThread(3),Info,Per server script "Barracuda_locale_Directory_Traversal.script" starting
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/favicon.ico
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/sitemap.xml
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Added request for URL http://testasp.vulnweb.com/sitemap.xml.gz
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Request done, http://testasp.vulnweb.com/robots.txt
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] Processing file /robots.txt
05.15 14:48.37, Crawler,Info,[TCrawler : $0BA902B0] No links found.
05.15 14:48.37, ScriptExecThread(7),Info,Per server script "Apache_Unfiltered_Expect_Header_Injection.script" finished in 358 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(6),Info,Per server script "Apache_XSS_via_Malformed_Method.script" finished in 296 ms. Request count: 1. Status: 0
05.15 14:48.37, ScriptExecThread(7),Info,Per server script "Bash_RCE_Server_Audit.script" starting
