TimeStamp, Source,LogType,Description
05.15 15:10.53, , Initialization, Info, Command line:wvs.exe /ps 1320012305780 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://www.webscantest.com/ --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\da7acffdbc450ed7a04e6ccf20fb5c82\
05.15 15:10.53, Console,Info,Test temporary directory ...
05.15 15:10.53, Console,Info,Init WinSock ...
05.15 15:10.53, Console,Info,Init HTTP module ...
05.15 15:10.53, Console,Info,Clear old logs ...
05.15 15:10.53, Console,Info,Parse branding ...
05.15 15:10.53, App_Initialization_Shutdown,Info,Build: 20160217
05.15 15:10.53, Console,Info,Init the browser ...
05.15 15:10.53, Console,Info,Init database manager ...
05.15 15:10.53, Console,Info,Init GHDB ...
05.15 15:10.53, Console,Info,Init server info interface ...
05.15 15:10.53, Frame_Config,Info,Parse Frame Config XML ...
05.15 15:10.53, Console,Info,Init application detection ...
05.15 15:10.53, Console,Info,Init Acunetix VVS ...
05.15 15:10.53, Console,Info,Load false positives ...
05.15 15:10.53, Console,Info,Init global messaging ...
05.15 15:10.53, Console,Info,Done.
05.15 15:10.53, Scan,Info,http://www.webscantest.com/ have the ip 69.164.223.208
05.15 15:11.00, Scan,Info,Start URL : http://www.webscantest.com/
05.15 15:11.00, Scan,Info,Scanning Mode : Heuristic
05.15 15:11.00, Scan,Info,Server banner: Apache 2.x
05.15 15:11.00, Site_Structure,Info,Site_File unit instances (before reinit):
05.15 15:11.00, Site_File,Info,SF: 0; SFL: 1; SFRL: 7
05.15 15:11.00, Crawler,Info,[TCrawler : $0BA802B0] Structure initialized
05.15 15:11.00, Site_Structure,Info,Site_File unit instances (after reinit):
05.15 15:11.00, Site_File,Info,SF: 1; SFL: 3; SFRL: 8
05.15 15:11.00, Crawler,Info,[TCrawler : $0BA802B0] Crawling started, URL: http://www.webscantest.com/
