TimeStamp, Source,LogType,Description
09.30 05:18.43, , Initialization, Info, Command line:wvs.exe /ps 54840243222547 /console "C:\Program Files (x86)\Acunetix\Web Vulnerability Scanner 10\wvs_console.exe"  /Scan http://yilinhb.com --HtmlAuthUser= --HtmlAuthPass=  /Verbose /ExportXML /SaveLogs /SaveFolder C:\WDScanner\WWW\report\fcee4c56499a9d717304040dbf2e2590\
09.30 05:18.43, Console,Info,Test temporary directory ...
09.30 05:18.43, Console,Info,Init WinSock ...
09.30 05:18.43, Console,Info,Init HTTP module ...
09.30 05:18.44, Console,Info,Clear old logs ...
09.30 05:18.44, Console,Info,Parse branding ...
09.30 05:18.44, App_Initialization_Shutdown,Info,Build: 20160217
09.30 05:18.44, Console,Info,Init the browser ...
09.30 05:18.44, Console,Info,Init database manager ...
09.30 05:18.44, Console,Info,Init GHDB ...
09.30 05:18.44, Console,Info,Init server info interface ...
09.30 05:18.44, Frame_Config,Info,Parse Frame Config XML ...
09.30 05:18.44, Console,Info,Init application detection ...
09.30 05:18.44, Console,Info,Init Acunetix VVS ...
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey LoadActivationSettings
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey 8C43-BCB1-8326-CE87
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey InternetOpen
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey InternetConnect
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey HttpOpenRequest
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey InternetSetOption
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey HttpAddRequestHeaders
09.30 05:18.44, Web_Activation,Info,ActivateLicenseKey prepare POST data
